29 offres,tfidf
gestion dossiers,7.08522609917
accueil integration,6.056432955
trade marketing,5.71782241557
execution skills,4.66168493308
gestion financiere,4.64845134357
ability organize,4.26374492441
executive assistant,4.11761688873
office administration,4.0084724193
office manager,3.58250368703
veille strategique,3.26374492441
secondary education,3.21452690174
strong communication,3.21452690174
office suite,3.10538243231
spoken written,3.09348320901
working knowledge,3.03843564268
internal external,3.01823225659
chef entreprise,2.94987770404
gestion paie,2.75052732434
gestion entreprise,2.71967688006
optimisation processus,2.70503635387
prix revient,2.65521889083
processus budgetaire,2.64674458329
gestion comptes,2.57177982164
resolution probleme,2.53296264874
ability work,2.53135116458
gestion contrats,2.49289291276
redaction rapports,2.44684108503
communication skills,2.32223349177
gestion stocks,2.31729265939
communication interpersonnelle,2.26635854001
