22 offres,tfidf
distribution,33.9894968659
integration,16.3357326475
structure,13.6821188492
budget,13.3977998297
prise,12.6942777174
leader,10.0960896928
profit,8.81069000994
gestionnaire,6.54633588813
consistent,6.26122497521
indicateurs,6.15787621922
dynamisme,4.34450152825
animation,4.19983915718
implantation,3.68099810094
accompagnement,3.09248169928
autodidacte,2.87635509807
organiser,2.85357637469
honnete,2.72718648183
dp,2.71720226093
manager,2.50926823655
chef,2.31878881033
professionnelle,2.28489554316
entrepreneur,2.10297636254
creatif,1.91310931615
image,1.85448827237
hygiene,1.77660654893
present,1.72870411115
specialiste,1.71942878266
budgets,1.64423420357
efficace,1.5863204867
presentation,1.53328566436
