15 offres,tfidf
commercial,13.9553121855
vente,7.93101240195
clients,6.51327765921
commerce,6.17293735787
premiere,5.82600991817
developpement,5.48472902779
formation,4.87062869892
environnement,3.82744761312
solutions,3.81050832697
autonomie,3.65786958775
dynamique,2.77514830617
service,2.40183483184
organisation,2.25398212742
experience,2.24377458454
gestion,2.05659091598
responsable,1.57446421593
services,1.47646732688
connaissance,1.31631955724
operations,1.18768732864
plan,1.15823473964
collaboration,1.15707816244
recrutement,1.1218563747
management,1.02389510372
information,0.95951298222
autonome,0.946433904199
analyse,0.801466748409
techniques,0.763014590113
competences,0.609414336421
